犯罪	広さ	産業	川辺	窒素酸化物	部屋数	古さ	主要施設	高速道路	税金	生徒と先生	黒人	低所得	価格
high	0	18.1	no	0.718	3.561	87.9	1.6132	24	666	20.2	354.7	7.12	27.5 
low	0	8.14	no	0.538	5.95	82	3.99	4	307	21	232.6	27.71	13.2 
very_low	82.5	2.03	no	0.415	6.162	38.4	6.27	2	348	14.7	393.77	7.43	24.1 
low	0	21.89	no	0.624	6.151	97.9	1.6687	4	437	21.2	396.9	18.46	17.8 
high	0	18.1	no	0.614	6.98	67.6	2.5329	24	666	20.2	374.68	11.66	29.8 
low	0	6.2	no	0.507	6.086	61.5	3.6519	8	307	17.4	376.75	10.88	24.0 
very_low	22	5.86	no	0.431	6.438	8.9	7.3967	7	330	19.1	377.07	3.59	24.8 
very_low	0	4.39	no	0.442	6.014	48.5	8.0136	3	352	18.8	385.64	10.53	17.5 
low	0	9.9	no	0.544	6.113	58.8	4.0019		304	18.4	396.23	12.73	21.0 
high	0	18.1	no	0.583	5.905	53.2	3.1523	24	666	20.2	388.22	11.45	20.6 
very_low	0	5.96	no	0.499	5.966	30.2	3.8473	5	279	19.2	393.43	10.13	24.7 
low	20	3.97	no	0.647	8.704	86.9	1.801	5	264	13	389.7	5.12	5.0 
very_low	12.5	7.87	no	0.524	6.009	82.9	6.2267	5	311	15.2	396.9	13.27	18.9 
very_low	40	6.41	yes	0.447	6.826	27.6	4.8628	4	254	17.6	393.45	4.16	33.1 
very_low	22	5.86	no	0.431	6.226	79.2	8.0555	7	330	19.1	376.14	10.15	20.5 
very_low	0	7.38	no	0.493	6.083	43.7	5.4159	5	287	19.6	396.9	12.79	22.2 
low	0	9.9	no	0.544	6.266	82.8	3.2628	4	304	18.4	393.39	7.9	21.6 
low	0	6.2	no	0.504	7.163	79.9	3.2157	8	307	17.4	372.08	6.36	31.6 
high	0	18.1	no	0.74	6.461	93.3	2.0026	24	666	20.2	27.49	18.05	9.6 
low	0	8.14	no	0.538	6.072	100	4.175	4	307	21	376.73	13.04	14.5 
very_low	95	2.68	no	0.4161	7.853	33.2	5.118	4	224	14.7	392.78	3.81	48.5 
very_low	0	6.91	no		6.211	6.5	5.7209	3	233	17.9	394.46	7.44	24.7 
high	0	18.1	no	0.659	5.608	100	1.2852	24	666	20.2	332.09	12.13	27.9 
high	0	18.1	no	0.713	6.525	86.5	2.4358	24	666	20.2	50.92	18.13	14.1 
very_low	25	5.13	no	0.453	6.456	67.8	7.2255	8	284	19.7	396.9	6.73	22.2 
high	0	18.1	yes	0.77	5.803	89	1.9047	24	666	20.2	353.04	14.64	16.8 
very_low	0	12.83	no	0.437	6.273	6	4.2515	5	398	18.7	394.92	6.78	24.1 
very_low	20	6.96	no	0.464	6.538	58.7	3.9175	3	223	18.6	394.96	7.73	24.4 
high	0	19.58	no	0.871	5.468	100	1.4118	5	403	14.7	396.9	26.42	15.6 
high	0	18.1	no	0.693	5.887	94.7	1.7821	24	666	20.2	396.9	16.35	12.7 
low	0	6.2	no	0.504	8.266	78.3	2.8944	8	307	17.4	385.05	4.14	44.8 
very_low	12.5	6.07	no	0.409	5.594	36.8	6.498	4	345	18.9	396.9	13.09	17.4 
very_low	0	4.05	no	0.51	6.546	33.1	3.1323	5	296	16.6	390.96	5.33	29.4 
high	0	18.1	yes	0.718	6.545	82.9	1.9047	24	666	20.2	354.55	5.29	21.9 
high	0	18.1	no	0.7	5.52	100	1.5331	24	666	20.2	396.9	24.56	12.3 
very_low	0	2.46	no	0.488	7.765	83.3	2.741	3	193	17.8	395.56	7.56	39.8 
very_low	0	8.56	no	0.52	5.851	96.7	2.1069	5	384	20.9	394.05	16.47	19.5 
very_low	0	2.46	no	0.488	6.153	68.8	3.2797	3	193	17.8	387.11	13.15	29.6 
very_low	80	4.95	no	0.411	6.63	23.4	5.1167	4	245	19.2	396.9	4.7	27.9 
very_low	0	6.91	no	0.448	5.602	62	6.0877	3	233	17.9	396.9	16.2	19.4 
low	20	3.97	no	0.575	7.47	52.6	2.872	5	264	13	390.3	3.16	43.5 
low	0	8.14	no	0.538	6.096	84.5	4.4619	4	307	21	380.02	10.26	18.2 
low	0	21.89	no	0.624	5.857	98.2	1.6686	4	437	21.2	392.04	21.32	13.3 
low	22	5.86	no	0.431	6.108	34.9	8.0555	7	330	19.1	390.18	9.16	24.3 
very_low	0	5.96	no	0.499	5.85	41.5	3.9342	5	279	19.2	396.9	8.77	21.0 
very_low	21	5.64	no	0.439	5.963	45.7	6.8147	4	243	16.8	395.56	13.45	19.7 
low	0	25.65	no	0.581	5.613	95.6	1.7572	2	188	19.1	359.29	27.26	15.7 
very_low	0	2.89	no	0.445	6.625	57.8	3.4952	2	276	18	357.98	6.65	28.4 
very_low	0	2.89	no	0.445	7.82	36.9	3.4952	2	276	18	393.53	3.57	43.8 
very_low	0	6.91	no	0.448	6.03	85.5	5.6894	3	233	17.9	392.74	18.8	16.6 
very_low	0	10.59	no	0.489	6.375	32.3	3.9454	4	277	18.6	385.81	9.38	28.1 
